Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
657090873,000001D4,false,Rx,1,8,F7,07,00,00,07,44,30,70,
657091115,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,00,8F,
657091339,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
657094643,000001DB,false,Rx,1,8,FF,80,BB,0B,26,00,02,DE,
657094871,000001DC,false,Rx,1,8,6E,04,C4,B5,E5,04,C6,96,
657095415,000001DA,false,Rx,1,8,BA,72,58,00,00,01,03,62,
657095585,00000120,false,Rx,1,4,00,00,0B,B9,00,00,00,00,
657096615,000002B5,false,Rx,1,8,60,00,32,00,00,00,00,52,
657096850,000002B6,false,Rx,1,8,60,00,88,81,F0,00,74,ED,
657100639,0000011A,false,Rx,1,8,4E,40,00,55,00,00,01,7D,
657100877,000001D4,false,Rx,1,8,F7,07,00,00,47,44,30,B7,
657101109,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,01,8F,
657101333,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
657104636,000001DB,false,Rx,1,8,FF,A0,BB,0B,26,00,03,0A,
657104874,000001DC,false,Rx,1,8,6E,04,C4,B5,E8,C0,C3,2D,
657105409,000001DA,false,Rx,1,8,BA,72,58,00,00,01,00,68,
657105578,00000120,false,Rx,1,4,00,00,0C,28,00,00,00,00,
657110641,0000011A,false,Rx,1,8,4E,40,00,55,40,00,02,B0,
657110879,000001D4,false,Rx,1,8,F7,07,00,00,87,44,30,7B,
657111121,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,02,8F,
657111345,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
657114639,000001DB,false,Rx,1,8,FF,A0,BB,0B,26,00,00,00,
657114867,000001DC,false,Rx,1,8,6E,04,C4,B5,EC,DC,C8,C4,
657115411,000001DA,false,Rx,1,8,BA,32,58,00,00,01,01,4F,
657115581,00000120,false,Rx,1,4,00,00,0D,AD,00,00,00,00,
657120634,0000011A,false,Rx,1,8,4E,40,00,AA,80,00,03,A6,
657120862,000001D4,false,Rx,1,8,F7,07,00,00,C7,44,30,BC,
657121104,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,03,8F,
657121328,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
657124642,000001DB,false,Rx,1,8,FF,A0,BB,0B,26,00,01,85,
657124869,000001DC,false,Rx,1,8,6E,04,C4,B5,E1,0C,E1,81,
657125414,000001DA,false,Rx,1,8,BA,32,58,00,00,01,02,45,
657125584,00000120,false,Rx,1,4,00,00,0E,A7,00,00,00,00,
657130637,0000011A,false,Rx,1,8,4E,40,00,AA,C0,00,00,6B,
657130875,000001D4,false,Rx,1,8,F7,07,00,00,07,44,30,70,
657131117,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,00,8F,
657131341,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
657134634,000001DB,false,Rx,1,8,FF,A0,BB,0B,26,00,02,8F,
657134861,000001DC,false,Rx,1,8,6E,04,C4,B5,E5,04,C6,96,
657135416,000001DA,false,Rx,1,8,BA,72,58,00,00,01,03,62,
657135586,00000120,false,Rx,1,4,00,00,0F,22,00,00,00,00,
76551,000002A0,false,Tx,1,8,7B,8D,01,46,55,60,33,E4,
657140639,0000011A,false,Rx,1,8,4E,40,00,55,00,00,01,7D,
657140877,000001D4,false,Rx,1,8,F7,07,00,00,47,44,30,B7,
657141175,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,01,8F,
657141336,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
657144978,000001DB,false,Rx,1,8,FF,A0,BB,0B,26,00,03,0A,
657145207,000001DC,false,Rx,1,8,6E,04,C4,B5,E8,C0,C3,2D,
657145440,000001DA,false,Rx,1,8,BA,72,58,00,00,01,00,68,
657145620,00000120,false,Rx,1,4,00,00,00,00,00,00,00,00,
657145852,0000055B,false,Rx,1,8,6E,80,AA,00,D2,80,11,43,
657146083,000005BC,false,Rx,1,8,13,80,64,50,90,02,A0,96,
657150556,00000390,false,Rx,1,8,24,00,01,02,00,00,00,05,
657150794,0000011A,false,Rx,1,8,4E,40,00,55,40,00,02,B0,
657151025,000001D4,false,Rx,1,8,F7,07,00,00,87,44,30,7B,
657151270,000001F2,false,Rx,1,8,30,64,20,AC,00,3C,02,8F,
657151491,0000050B,false,Rx,1,7,00,00,06,C0,00,00,00,00,
657154885,000001DB,false,Rx,1,8,FF,A0,BB,0B,26,00,00,00,
657155103,000001DC,false,Rx,1,8,6E,04,C4,B5,EC,DC,C8,C4,
657155346,0000059E,false,Rx,1,8,00,00,0A,11,F0,00,00,00,
657155516,00000120,false,Rx,1,4,00,00,01,85,00,00,00,00,
657155757,000001DA,false,Rx,1,8,BA,32,58,00,00,01,01,4F,
